"Name","Country","code","link","run_against","total_out","others_avg","BattingAverage","Inns","Not_out"
"murali kartik","india",30049,"https://stats.espncricinfo.com/ci/engine/player/30049.html?class=1;template=results;type=allround;view=match",9215,271,34.00369004,9.77,10,1
"ramnath kenny","india",30066,"https://stats.espncricinfo.com/ci/engine/player/30066.html?class=1;template=results;type=allround;view=match",5674,187,30.34224599,27.22,10,1
"sarfaraz khan","india",642525,"https://stats.espncricinfo.com/ci/engine/player/642525.html?class=1;template=results;type=allround;view=match",6852,223,30.7264574,37.1,11,1
"zaheer khan","india",30102,"https://stats.espncricinfo.com/ci/engine/player/30102.html?class=1;template=results;type=allround;view=match",87545,2254,38.83984028,11.95,127,24
"syed kirmani","india",30116,"https://stats.espncricinfo.com/ci/engine/player/30116.html?class=1;template=results;type=allround;view=match",72232,2019,35.7761268,27.04,124,22
"gogumal kishenchand","india",30117,"https://stats.espncricinfo.com/ci/engine/player/30117.html?class=1;template=results;type=allround;view=match",5417,173,31.31213873,8.9,10,0
"virat kohli","india",253802,"https://stats.espncricinfo.com/ci/engine/player/253802.html?class=1;template=results;type=allround;view=match",90630,2833,31.99082245,46.85,210,13
"ag kripal singh","india",30132,"https://stats.espncricinfo.com/ci/engine/player/30132.html?class=1;template=results;type=allround;view=match",14104,375,37.61066667,28.13,20,5
"pochiah krishnamurthy","india",30135,"https://stats.espncricinfo.com/ci/engine/player/30135.html?class=1;template=results;type=allround;view=match",7238,194,37.30927835,5.5,6,0
"kuldeep yadav","india",559235,"https://stats.espncricinfo.com/ci/engine/player/559235.html?class=1;template=results;type=allround;view=match",12465,380,32.80263158,13.26,17,2
"nilesh kulkarni","india",30149,"https://stats.espncricinfo.com/ci/engine/player/30149.html?class=1;template=results;type=allround;view=match",4697,99,47.44444444,5,2,1
"raju kulkarni","india",30151,"https://stats.espncricinfo.com/ci/engine/player/30151.html?class=1;template=results;type=allround;view=match",4500,114,39.47368421,1,2,0
"umesh kulkarni","india",30154,"https://stats.espncricinfo.com/ci/engine/player/30154.html?class=1;template=results;type=allround;view=match",5927,161,36.8136646,4.33,8,5
"bhuvneshwar kumar","india",326016,"https://stats.espncricinfo.com/ci/engine/player/326016.html?class=1;template=results;type=allround;view=match",18038,539,33.46567718,22.08,29,4
"praveen kumar","india",30732,"https://stats.espncricinfo.com/ci/engine/player/30732.html?class=1;template=results;type=allround;view=match",6729,204,32.98529412,14.9,10,0
"vaman kumar","india",30173,"https://stats.espncricinfo.com/ci/engine/player/30173.html?class=1;template=results;type=allround;view=match",3664,99,37.01010101,3,2,0
"anil kumble","india",30176,"https://stats.espncricinfo.com/ci/engine/player/30176.html?class=1;template=results;type=allround;view=match",116942,3041,38.45511345,17.77,173,32
"budhi kunderan","india",30178,"https://stats.espncricinfo.com/ci/engine/player/30178.html?class=1;template=results;type=allround;view=match",16668,468,35.61538462,32.7,34,4
"abey kuruvilla","india",30182,"https://stats.espncricinfo.com/ci/engine/player/30182.html?class=1;template=results;type=allround;view=match",10158,238,42.68067227,6.6,11,1
"lall singh","india",30743,"https://stats.espncricinfo.com/ci/engine/player/30743.html?class=1;template=results;type=allround;view=match",2393,79,30.29113924,22,2,0
"raman lamba","india",30745,"https://stats.espncricinfo.com/ci/engine/player/30745.html?class=1;template=results;type=allround;view=match",4499,129,34.87596899,20.4,5,0
"vvs laxman","india",30750,"https://stats.espncricinfo.com/ci/engine/player/30750.html?class=1;template=results;type=allround;view=match",125836,3198,39.34834271,45.97,225,34
"madan lal","india",30873,"https://stats.espncricinfo.com/ci/engine/player/30873.html?class=1;template=results;type=allround;view=match",32136,905,35.50939227,22.65,62,16
"ebrahim maka","india",30908,"https://stats.espncricinfo.com/ci/engine/player/30908.html?class=1;template=results;type=allround;view=match",2985,91,32.8021978,0,1,1
"ashok malhotra","india",30912,"https://stats.espncricinfo.com/ci/engine/player/30912.html?class=1;template=results;type=allround;view=match",6686,187,35.7540107,25.11,10,1
"maninder singh","india",30923,"https://stats.espncricinfo.com/ci/engine/player/30923.html?class=1;template=results;type=allround;view=match",28832,772,37.34715026,3.8,38,12
"sanjay manjrekar","india",30934,"https://stats.espncricinfo.com/ci/engine/player/30934.html?class=1;template=results;type=allround;view=match",28847,838,34.42362768,37.14,61,6
"vijay manjrekar","india",30936,"https://stats.espncricinfo.com/ci/engine/player/30936.html?class=1;template=results;type=allround;view=match",40487,1203,33.65502909,39.12,92,10
"ashok mankad","india",30938,"https://stats.espncricinfo.com/ci/engine/player/30938.html?class=1;template=results;type=allround;view=match",17084,568,30.07746479,25.41,42,3
"vinoo mankad","india",30939,"https://stats.espncricinfo.com/ci/engine/player/30939.html?class=1;template=results;type=allround;view=match",33276,962,34.59043659,31.47,72,5
"m k mantri","india",30950,"https://stats.espncricinfo.com/ci/engine/player/30950.html?class=1;template=results;type=allround;view=match",5091,156,32.63461538,9.57,8,1
"khershed meherhomji","india",30970,"https://stats.espncricinfo.com/ci/engine/player/30970.html?class=1;template=results;type=allround;view=match",2673,72,37.125,0,1,1
"vijay mehra","india",30974,"https://stats.espncricinfo.com/ci/engine/player/30974.html?class=1;template=results;type=allround;view=match",7782,231,33.68831169,25.3,14,1
"vijay merchant","india",30996,"https://stats.espncricinfo.com/ci/engine/player/30996.html?class=1;template=results;type=allround;view=match",7885,263,29.98098859,47.72,18,0
"paras mhambrey","india",30999,"https://stats.espncricinfo.com/ci/engine/player/30999.html?class=1;template=results;type=allround;view=match",3178,100,31.78,29,3,1
"ag milkha singh","india",31004,"https://stats.espncricinfo.com/ci/engine/player/31004.html?class=1;template=results;type=allround;view=match",5149,135,38.14074074,15.33,6,0
"amit mishra","india",31107,"https://stats.espncricinfo.com/ci/engine/player/31107.html?class=1;template=results;type=allround;view=match",22408,571,39.24343257,21.6,32,2
"abhimanyu mithun","india",310958,"https://stats.espncricinfo.com/ci/engine/player/310958.html?class=1;template=results;type=allround;view=match",5842,145,40.28965517,24,5,0
"rusi modi","india",31021,"https://stats.espncricinfo.com/ci/engine/player/31021.html?class=1;template=results;type=allround;view=match",9351,247,37.8582996,46,17,1
"mohammed shami","india",481896,"https://stats.espncricinfo.com/ci/engine/player/481896.html?class=1;template=results;type=allround;view=match",54893,1597,34.37257358,12.09,89,27
"mohammed siraj","india",940973,"https://stats.espncricinfo.com/ci/engine/player/940973.html?class=1;template=results;type=allround;view=match",28643,958,29.89874739,4.85,49,22
"debasis mohanty","india",31025,"https://stats.espncricinfo.com/ci/engine/player/31025.html?class=1;template=results;type=allround;view=match",3930,99,39.6969697,0,1,1
"nayan mongia","india",31036,"https://stats.espncricinfo.com/ci/engine/player/31036.html?class=1;template=results;type=allround;view=match",37280,1045,35.67464115,24.03,68,8
"kiran more","india",31038,"https://stats.espncricinfo.com/ci/engine/player/31038.html?class=1;template=results;type=allround;view=match",40093,1131,35.44916004,25.7,64,14
"venatappa muddiah","india",31045,"https://stats.espncricinfo.com/ci/engine/player/31045.html?class=1;template=results;type=allround;view=match",3020,93,32.47311828,5.5,3,1
"mukesh kumar","india",926851,"https://stats.espncricinfo.com/ci/engine/player/926851.html?class=1;template=results;type=allround;view=match",3950,131,30.15267176,0,4,3
"abhinav mukund","india",302582,"https://stats.espncricinfo.com/ci/engine/player/302582.html?class=1;template=results;type=allround;view=match",7419,222,33.41891892,22.85,14,0
"mushtaq ali","india",31061,"https://stats.espncricinfo.com/ci/engine/player/31061.html?class=1;template=results;type=allround;view=match",9497,287,33.09059233,32.21,20,1
"shahbaz nadeem","india",31872,"https://stats.espncricinfo.com/ci/engine/player/31872.html?class=1;template=results;type=allround;view=match",3421,101,33.87128713,0.5,3,1
"bapu nadkarni","india",31760,"https://stats.espncricinfo.com/ci/engine/player/31760.html?class=1;template=results;type=allround;view=match",34169,1007,33.93147964,25.7,67,12
"sudhir naik","india",31778,"https://stats.espncricinfo.com/ci/engine/player/31778.html?class=1;template=results;type=allround;view=match",3965,113,35.08849558,23.5,6,0
"karun nair","india",398439,"https://stats.espncricinfo.com/ci/engine/player/398439.html?class=1;template=results;type=allround;view=match",6639,185,35.88648649,62.33,7,1
"naoomal jeoomal","india",31939,"https://stats.espncricinfo.com/ci/engine/player/31939.html?class=1;template=results;type=allround;view=match",3705,128,28.9453125,27,5,1
"bobjee narasimha rao","india",31795,"https://stats.espncricinfo.com/ci/engine/player/31795.html?class=1;template=results;type=allround;view=match",5205,145,35.89655172,9.2,6,1
"t natarajan","india",802575,"https://stats.espncricinfo.com/ci/engine/player/802575.html?class=1;template=results;type=allround;view=match",2781,80,34.7625,0,1,1
"janardan navle","india",31806,"https://stats.espncricinfo.com/ci/engine/player/31806.html?class=1;template=results;type=allround;view=match",3233,106,30.5,10.5,4,0
"suru nayak","india",31808,"https://stats.espncricinfo.com/ci/engine/player/31808.html?class=1;template=results;type=allround;view=match",3576,90,39.73333333,9.5,3,1
"c k nayudu","india",31811,"https://stats.espncricinfo.com/ci/engine/player/31811.html?class=1;template=results;type=allround;view=match",6892,229,30.09606987,25,14,0
"c s nayudu","india",31813,"https://stats.espncricinfo.com/ci/engine/player/31813.html?class=1;template=results;type=allround;view=match",8440,297,28.41750842,9.18,19,3
"nazir ali","india",31816,"https://stats.espncricinfo.com/ci/engine/player/31816.html?class=1;template=results;type=allround;view=match",3177,105,30.25714286,7.5,4,0
"ashish nehra","india",31820,"https://stats.espncricinfo.com/ci/engine/player/31820.html?class=1;template=results;type=allround;view=match",17256,449,38.43207127,5.5,25,11
"mohammad nissar","india",31791,"https://stats.espncricinfo.com/ci/engine/player/31791.html?class=1;template=results;type=allround;view=match",6118,202,30.28712871,6.87,11,3
